input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
10000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.6175550000000001,16.224399089813232
10000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.6648499999999999,25.621697902679443
10000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.65125,35.05954337120056
10000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,0.546015,43.932706356048584
10000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.665905,53.343955278396606
10000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.647445,62.81472063064575
10000000,128,threads,close, ,simd,"schedule(static,1)",static,0.545635,71.50159025192261
10000000,192,sockets,close, , , ,static,0.54696,80.08402585983276
10000000,48,cores,master, , ,"schedule(static,4)",dynamic,0.5519400000000001,88.90707421302795
10000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.667265,98.33413910865784
10000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.552175,107.10185217857361
10000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,0.554435,115.94929337501526
10000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.61098,125.86908268928528
10000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.6632,135.430415391922
10000000,64,cores,master, , ,"schedule(static,1)",dynamic,0.54724,144.17065024375916
10000000,64,cores,spread, , ,"schedule(static,4)",dynamic,0.550155,152.8388454914093
10000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.66341,162.19397950172424
10000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.60184,171.33364272117615
10000000,16,cores,spread, , , ,dynamic,0.547655,180.18482303619385
10000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.640385,189.65309596061707
10000000,8,cores,close, ,simd,"schedule(static,32)",static,0.55234,198.41546821594238
10000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.608965,207.9186246395111
10000000,96,threads,close, , , ,dynamic,0.5437350000000001,216.74487471580505
10000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.668765,226.07167315483093
10000000,4,cores,master, , ,"schedule(static,4)",static,0.552175,234.8544147014618
10000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.6628050000000001,244.3309726715088
10000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,0.647505,253.80610179901123
10000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,0.656135,263.69072222709656
10000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.6400699999999999,273.27546668052673
10000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.6063799999999999,283.0191948413849
10000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,0.5511699999999999,291.707453250885
10000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.656805,300.9556815624237
10000000,48,sockets,master, , ,"schedule(static,4)",dynamic,0.553705,309.6450936794281
10000000,32,threads,master, , ,"schedule(static,2)",static,0.554405,318.603307723999
10000000,8,cores,master, ,simd, ,dynamic,0.5480799999999999,327.4851906299591
10000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,0.55263,336.3695499897003
10000000,256,threads,master, , , ,dynamic,0.54904,345.12520241737366
10000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,0.6600699999999999,354.70805048942566
10000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,0.65236,364.17614483833313
10000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.636255,373.70036911964417
10000000,4,sockets,master, , ,"schedule(static,16)",static,0.5563849999999999,382.50221586227417
10000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,0.55502,391.51585245132446
10000000,32,sockets,spread, ,simd,"schedule(static,32)",static,0.555535,400.2473077774048
10000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,0.6372450000000001,409.9539432525635
10000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.59924,419.54557037353516
10000000,96,threads,master,#pragma omp parallel for,simd, ,static,0.6553,429.49173378944397
10000000,32,threads,spread, , ,"schedule(static,8)",dynamic,0.5497,438.36234974861145
10000000,128,sockets,close, ,simd,"schedule(static,2)",static,0.5502450000000001,447.1201753616333
10000000,128,threads,close, , ,"schedule(static,32)",dynamic,0.604865,456.26266407966614
10000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,0.6650149999999999,465.5677659511566
10000000,128,cores,close,#pragma omp parallel for, , ,dynamic,0.589705,475.1449601650238
10000000,8,sockets,spread,#pragma omp parallel for, , ,static,0.6520600000000001,484.4115092754364
10000000,64,sockets,master, , ,"schedule(static,32)",static,0.5611200000000001,493.27702140808105
10000000,32,cores,spread, , ,"schedule(static,16)",static,0.552065,502.1603755950928
10000000,256,threads,master, , ,"schedule(static,2)",dynamic,0.54959,511.0318205356598
10000000,8,threads,close, , ,"schedule(static,1)",static,0.546905,519.65061378479
10000000,256,cores,spread, , ,"schedule(static,1)",static,0.639165,528.7099561691284
10000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,0.640855,538.3777160644531
10000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,0.665235,547.6505076885223
10000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.63521,557.4824397563934
10000000,8,sockets,spread, , ,"schedule(static,16)",static,0.53552,566.4463322162628
10000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,0.6595249999999999,575.8179676532745
10000000,2,sockets,close, ,simd,"schedule(static,16)",static,0.5529900000000001,584.6182291507721
10000000,48,sockets,close, ,simd, ,dynamic,0.54616,593.5424473285675
10000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,0.624745,603.0663695335388
10000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,0.55067,611.8200032711029
10000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.63122,621.029881477356
10000000,8,sockets,master, , ,"schedule(static,32)",static,0.555865,629.7534532546997
10000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.7420450000000001,639.3676543235779
10000000,4,sockets,close, , ,"schedule(static,16)",dynamic,0.5569200000000001,648.1768295764923
10000000,96,sockets,master, , ,"schedule(static,4)",static,0.55325,657.1242365837097
10000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.62766,666.3429555892944
10000000,48,cores,close, , ,"schedule(static,32)",dynamic,0.5536000000000001,675.4524803161621
10000000,8,sockets,master,#pragma omp parallel for,simd, ,static,0.6557299999999999,684.9674708843231
10000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,0.6476500000000001,694.1354832649231
10000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.6285000000000001,703.4376728534698
10000000,2,sockets,close, ,simd,"schedule(static,1)",static,0.58543,712.408150434494
10000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,0.6149549999999999,722.4531412124634
10000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,0.5611550000000001,731.2537415027618
10000000,96,threads,close, , ,"schedule(static,32)",dynamic,0.555565,740.4691114425659
10000000,48,sockets,master, , ,"schedule(static,8)",static,0.55409,749.3103518486023
10000000,192,threads,close, ,simd,"schedule(static,16)",static,0.5524549999999999,758.1988735198975
10000000,128,cores,close,#pragma omp parallel for, , ,dynamic,0.6378600000000001,767.4895904064178
10000000,4,threads,spread, ,simd, ,static,0.553775,776.353137254715
10000000,32,threads,spread, ,simd, ,dynamic,0.547795,785.2903666496277
10000000,192,threads,close, , ,"schedule(static,1)",static,0.546495,794.14972615242
10000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.65115,803.9873561859131
10000000,32,threads,spread, ,simd,"schedule(static,2)",static,0.55255,812.6618974208832
10000000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.640355,822.8689277172089
10000000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.667405,832.0249276161194
10000000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.644315,841.9462034702301
10000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,0.66483,851.9397151470184
10000000,96,cores,spread, , ,"schedule(static,2)",static,0.54804,860.83065533638
10000000,4,cores,master, ,simd,"schedule(static,8)",dynamic,0.550455,869.4733309745789
10000000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,0.6390199999999999,879.6700067520142
10000000,128,cores,close, , ,"schedule(static,32)",static,0.5576650000000001,888.3818378448486
10000000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.593135,897.9424283504486
10000000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.5764549999999999,907.6255388259888
10000000,64,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.65102,916.853508234024
10000000,128,sockets,master, ,simd,"schedule(static,2)",dynamic,0.55028,925.6181700229645
10000000,256,sockets,spread, ,simd,"schedule(static,1)",dynamic,0.5263249999999999,3603.307284593582
10000000,256,sockets,close, ,simd,"schedule(static,1)",dynamic,0.54634,3729.7898619174957
10000000,2,cores,spread, ,simd,"schedule(static,1)",dynamic,0.549165,3847.010599374771
10000000,256,sockets,master, ,simd,"schedule(static,1)",dynamic,0.544435,4033.7097175121307
10000000,2,threads,close, ,simd,"schedule(static,1)",dynamic,0.527415,4215.529335021973
10000000,192,sockets,master, ,simd,"schedule(static,1)",dynamic,0.54756,4277.602947473526
10000000,256,cores,close, ,simd,"schedule(static,1)",dynamic,0.527585,4442.2794713974
10000000,2,sockets,close, ,simd,"schedule(static,1)",dynamic,0.545845,4554.249394893646
10000000,2,cores,spread, ,simd,"schedule(static,1)",static,0.529695,4660.154907464981
10000000,2,cores,master, ,simd,"schedule(static,1)",dynamic,0.526625,4769.596650123596
10000000,2,sockets,spread, ,simd,"schedule(static,1)",dynamic,0.5814250000000001,4910.443313360214
10000000,256,cores,spread, ,simd,"schedule(static,1)",dynamic,0.5268299999999999,5007.78974199295
10000000,256,cores,spread, ,simd,"schedule(static,1)",static,0.52895,5215.300172567368
10000000,4,cores,spread, ,simd,"schedule(static,1)",dynamic,0.527425,5331.880127906799
10000000,4,cores,close, ,simd,"schedule(static,1)",dynamic,0.527,5392.668661832809
10000000,256,threads,master, ,simd,"schedule(static,1)",dynamic,0.52667,5543.997539520264
10000000,256,threads,close, ,simd,"schedule(static,1)",dynamic,0.52993,5675.0776879787445
10000000,48,cores,close, ,simd,"schedule(static,1)",dynamic,0.523575,5740.10142493248
10000000,32,threads,close, ,simd,"schedule(static,1)",dynamic,0.5291650000000001,5939.393440008163
10000000,192,cores,spread, ,simd,"schedule(static,1)",dynamic,0.525785,6069.035800933838
10000000,16,sockets,close, ,simd,"schedule(static,1)",dynamic,0.52311,6135.770145893097
10000000,2,cores,close, ,simd,"schedule(static,1)",static,0.5462549999999999,6308.254235506058
10000000,16,cores,spread, ,simd,"schedule(static,1)",dynamic,0.52248,6535.834517478943
10000000,256,threads,spread, ,simd,"schedule(static,1)",dynamic,0.5704899999999999,6705.59103012085
10000000,192,cores,close, ,simd,"schedule(static,1)",dynamic,0.54605,6777.411426067352
10000000,192,cores,master, ,simd,"schedule(static,1)",dynamic,0.5466599999999999,6960.06397485733
10000000,4,sockets,spread, ,simd,"schedule(static,1)",dynamic,0.530335,7044.790446281433
10000000,128,cores,close, ,simd,"schedule(static,1)",dynamic,0.528105,7170.808068275452
10000000,2,cores,close, ,simd,"schedule(static,1)",dynamic,0.5264949999999999,7382.618956565857
10000000,8,sockets,close, ,simd,"schedule(static,1)",dynamic,0.5248200000000001,7466.821387767792
10000000,96,sockets,close, ,simd,"schedule(static,1)",dynamic,0.52311,7582.260128736496
10000000,16,cores,close, ,simd,"schedule(static,1)",dynamic,0.52068,7721.535234928131
10000000,128,threads,master, ,simd,"schedule(static,1)",dynamic,0.5291049999999999,7889.625258207321
10000000,128,sockets,close, ,simd,"schedule(static,1)",dynamic,0.5274,7966.197098493576
10000000,96,threads,close, ,simd,"schedule(static,1)",dynamic,0.5270999999999999,8032.4455552101135
10000000,2,cores,close, , ,"schedule(static,1)",dynamic,0.524275,8177.618821620941
10000000,192,threads,master, ,simd,"schedule(static,1)",dynamic,0.52262,8432.497539043427
10000000,192,sockets,close, ,simd,"schedule(static,1)",dynamic,0.524255,8711.660348892212
10000000,4,threads,close, ,simd,"schedule(static,1)",dynamic,0.529135,8900.381041526794
10000000,8,cores,close, ,simd,"schedule(static,1)",dynamic,0.526865,8959.074302434921
10000000,192,threads,spread, ,simd,"schedule(static,1)",dynamic,0.527435,9160.70191025734
10000000,48,sockets,close, ,simd,"schedule(static,1)",dynamic,0.621355,9330.505443572998
10000000,2,sockets,master, ,simd,"schedule(static,1)",dynamic,0.52595,9558.063516139984
10000000,8,threads,close, ,simd,"schedule(static,1)",dynamic,0.5458149999999999,9745.937222957611
10000000,64,cores,close, ,simd,"schedule(static,1)",dynamic,0.618385,9819.193028211594
10000000,128,sockets,master, ,simd,"schedule(static,1)",dynamic,0.5241549999999999,10045.590654373169
10000000,16,threads,close, ,simd,"schedule(static,1)",dynamic,0.525155,10279.65989112854
10000000,32,threads,spread, ,simd,"schedule(static,1)",dynamic,0.54357,10394.16380238533
10000000,2,threads,spread, ,simd,"schedule(static,1)",dynamic,0.527035,10581.533932209015
10000000,192,sockets,spread, ,simd,"schedule(static,1)",dynamic,0.522495,10884.0248837471
10000000,256,sockets,close, ,simd,"schedule(static,1)",static,0.530165,11071.044156074524
10000000,32,sockets,spread, ,simd,"schedule(static,1)",dynamic,0.54626,11341.630736112595
10000000,32,cores,close, ,simd,"schedule(static,1)",dynamic,0.52798,11481.263538837433
10000000,2,sockets,close, , ,"schedule(static,1)",dynamic,0.525425,11573.175499916077
