input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.086865,21.525646924972534
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.06418,36.86234164237976
100000,128,64, , ,8,4,sockets,none,0.050775,51.78000354766846
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.086945,66.63467240333557
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.033214999999999995,81.30638813972473
100000,16,128, , ,16,16,sockets,balanced,0.033479999999999996,96.24834537506104
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.16956,111.35866951942444
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.05544,126.36676120758057
100000,8,160, , ,128,32,threads,disabled,0.04799,141.20348978042603
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.05883,156.34644174575806
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.042265,171.0539948940277
100000,32,200, , ,128,2,cores,balanced,0.033135,185.8828206062317
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.049535,200.89448308944702
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.168915,216.19788718223572
100000,256,10, , ,32,2,cores,compact,0.07958499999999999,231.04462909698486
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.04548,245.92324447631836
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.05456,260.85019755363464
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.044685,275.8188042640686
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.037794999999999995,290.48230242729187
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.108215,305.6228144168854
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.046585,320.23842763900757
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.033100000000000004,335.03269720077515
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.054445,349.9501419067383
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.086395,365.0787115097046
